ID,MA,FA,Cs,Avg Mass of A,Radius of A,Pb,Sn,Avg Mass of B,Radius of B,Br,Cl,I,Radius of X,Tolerance Factor,New Tolerance Factor,Octahedral Factor,Band gap,Del H,Del L,Voc,Jsc,FF,PCE,REF
255,0.7,0.3,0,35.6566,2.727,1,0,207,1.18,0,0,1,2.06,1.044728445,3.504567747,0.572815534,1.57,0.184,0.27,1.073,22.03,0.778,18.39,135
256,0.7,0.3,0,35.6566,2.727,1,0,207,1.18,0,0,1,2.06,1.044728445,3.504567747,0.572815534,1.57,0.212,0.27,1.072,22.3,0.807,19.29,135
257,0.7,0.3,0,35.6566,2.727,1,0,207,1.18,0,0,1,2.06,1.044728445,3.504567747,0.572815534,1.57,0.134,0.27,1.065,21.88,0.744,17.33,135
258,0.7,0.3,0,35.6566,2.727,1,0,207,1.18,0,0,1,2.06,1.044728445,3.504567747,0.572815534,1.57,0.105,0.27,1.058,21.73,0.724,16.65,135
259,0.7,0.3,0,35.6566,2.727,1,0,207,1.18,0,0,1,2.06,1.044728445,3.504567747,0.572815534,1.57,0.067,0.27,1.052,21.96,0.702,16.21,135
260,0.7,0.3,0,35.6566,2.727,1,0,207,1.18,0,0,1,2.06,1.044728445,3.504567747,0.572815534,1.57,0.23,0.27,1.044,21.66,0.81,18.32,135
261,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.1,0.6,1.04,20.4,0.68,15.1,136
262,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.55,0.42,0.17,1.061,20.7,0.647,14.2,137
263,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.55,0.42,0.23,1.05,20.6,0.636,13.7,137
264,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.55,0.42,0.08,1.044,21.6,0.691,15.6,137
265,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.55,0.42,0.02,1.011,20.5,0.638,13.2,137
266,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.55,0.42,0.04,0.985,19.9,0.573,11.2,137
267,0,0,1,132.905,1.81,1,0,207,1.18,0.67,0,0.33,1.8992,0.8517798366,4.194937578,0.6213142376,2.08,0.78,0.06,1.09,7.76,0.6594,5.59,138
268,0,1,0,44.037,2.79,0,1,118.71,1.19,0,0,1,2.06,1.055220889,3.482612257,0.5776699029,1.4,0.7,0.4,0.39,22.12,0.57,4.92,139
269,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.55,0.05,0.26,1.1,21.78,0.7763,18.67,140
270,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.55,0.08,0.26,1.09,22.24,0.7891,18.81,140
271,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.55,0.08,0.26,1.05,21.62,0.7234,16.43,140
272,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.55,-0.1,0.26,1.02,21.29,0.6731,14.81,140
273,1,0,0,32.065,2.7,1,0,207,1.18,0,0.33,0.67,1.9775,1.047503395,3.440173166,0.5967130215,1.55,0.1,0.25,0.84,22.056,0.63155,11.7,141
