ID,MA,FA,Cs,Avg Mass of A,Radius of A,Pb,Sn,Avg Mass of B,Radius of B,Br,Cl,I,Radius of X,Tolerance Factor,New Tolerance Factor,Octahedral Factor,Band gap,Del H,Del L,Voc,Jsc,FF,PCE,REF
169,0,1,0,44.037,2.79,0,1,118.71,1.19,0,0,1,2.06,1.055220889,3.482612257,0.5776699029,1.4,0.7,0.28,0.4,22.17,0.662,5.9,96
170,0,1,0,44.037,2.79,0,1,118.71,1.19,0,0,1,2.06,1.055220889,3.482612257,0.5776699029,1.4,0.7,0.36,0.36,21.96,0.674,5.29,96
171,0,1,0,44.037,2.79,0,1,118.71,1.19,0,0,1,2.06,1.055220889,3.482612257,0.5776699029,1.4,0.7,0.18,0.29,5.33,0.338,0.52,96
172,0,1,0,44.037,2.79,0,1,118.71,1.19,0,0,1,2.06,1.055220889,3.482612257,0.5776699029,1.4,0.7,0.3,0.15,2.62,0.278,0.11,96
173,0.14,0.81,0.05,46.80432,2.7284,1,0,207,1.18,0.15,0,0.85,2.024,1.04883092,3.473785443,0.5830039526,1.6,0.58,-0.1,1.09,22.62,0.779,19.2,97
174,0.16,0.79,0.05,46.56488,2.7266,1,0,207,1.18,0.16,0,0.84,2.0216,1.048689536,3.472103832,0.5836960823,1.69,0.45,0.21,1.08,22.5,0.809,19.7,98
175,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.15,0.2,1.07,22.7,0.775,18.8,99
176,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.2,0.2,1.05,22.6,0.734,17.5,99
177,1,0,0,32.065,2.7,1,0,207,1.18,0,0.05,0.95,2.0475,1.040120664,3.499495199,0.5763125763,1.55,0.06,0.37,1.06,20.7,0.75,16.3,100
178,0,1,0,44.037,2.79,1,0,207,1.18,0,0,1,2.06,1.058477743,3.493388698,0.572815534,1.5,0.5,0.12,0.809,21.4,0.59,10.4,101
179,0.15,0.85,0,42.2412,2.7765,1,0,207,1.18,0.15,0,0.85,2.024,1.059446349,3.465084977,0.5830039526,1.73,0.43,0.18,1.16,23.18,0.79,21.31,102
180,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.18,0.2,1.09,23.91,0.73,19.12,103
181,0.16,0.79,0.05,46.56488,2.7266,1,0,207,1.18,0.17,0,0.83,2.0192,1.048945787,3.470069934,0.5843898574,0.16,0.48,0,1.076,22.7,0.78,19,104
182,0.9,0,0.1,42.149,2.611,1,0,207,1.18,0,0,1,2.06,1.019412276,3.531785558,0.572815534,1.54,0.49,0.05,1.05,10.1,0.73,7.68,105
183,0.8,0,0.2,52.233,2.522,1,0,207,1.18,0,0,1,2.06,0.999988664,3.559695262,0.572815534,1.57,0.49,0.02,1.04,6.76,0.654,4.58,105
184,0.95,0,0.05,37.107,2.6555,1,0,207,1.18,0,0,1,2.06,1.029124082,3.520232369,0.572815534,1.51,0.49,0.08,1.01,8.69,0.726,6.29,105
185,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.4,0.2,1.07,23.44,0.6125,15.38,106
186,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.4,0.2,1.02,21.88,0.5403,12.06,106
187,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.1,0.3,1.08,22.47,0.81,19.66,106
188,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.5,0.3,1,18.52,0.78,14.45,107
189,1,0,0,32.065,2.7,0.75,0.25,184.9275,1.1825,0,0,1,2.06,1.038034936,3.507624461,0.5740291262,1.38,0.04,0.32,0.82,22.44,0.78,14.35,107
190,1,0,0,32.065,2.7,0.5,0.5,162.855,1.185,0,0,1,2.06,1.037235217,3.505192151,0.5752427184,1.3,0.08,0.28,0.52,11.07,0.64,3.68,108
191,1,0,0,32.065,2.7,0.25,0.75,140.7825,1.1875,0,0,1,2.06,1.036436729,3.5027914,0.5764563107,1.27,0.24,0.41,0.36,11.12,0.59,2.36,108
192,1,0,0,32.065,2.7,0,1,118.71,1.19,0,0,1,2.06,1.03563947,3.500422123,0.5776699029,1.37,0.35,0.62,0.15,4.52,0.38,0.26,108
193,0,1,0,44.037,2.79,1,0,207,1.18,0,0,1,2.06,1.058477743,3.493388698,0.572815534,1.5,0.5,0.12,1.05,23,0.721,17.4,109
194,0.13,0.74,0.1,50.04633,2.5966,1,0,207,1.18,0.13,0,0.83,1.9464,1.027503233,3.439577333,0.6062474312,1.6,0.5,0,1.153,22.18,0.733,18.76,110
195,0.13,0.74,0.1,50.04633,2.5966,1,0,207,1.18,0.13,0,0.83,1.9464,1.027503233,3.439577333,0.6062474312,1.6,0.48,0,1.097,22.59,0.758,18.77,110
196,0.13,0.74,0.1,50.04633,2.5966,1,0,207,1.18,0.13,0,0.83,1.9464,1.027503233,3.439577333,0.6062474312,1.6,0.43,0,1.025,20.16,0.801,16.54,110
197,0.13,0.74,0.1,50.04633,2.5966,1,0,207,1.18,0.13,0,0.83,1.9464,1.027503233,3.439577333,0.6062474312,1.6,0.47,0,0.994,22.68,0.625,14.09,110
198,0.13,0.74,0.1,50.04633,2.5966,1,0,207,1.18,0.13,0,0.83,1.9464,1.027503233,3.439577333,0.6062474312,1.6,0.5,0,0.975,10.92,0.66,7.03,110
199,0.13,0.74,0.1,50.04633,2.5966,1,0,207,1.18,0.13,0,0.83,1.9464,1.027503233,3.439577333,0.6062474312,1.6,0.38,0,0.972,8.67,0.727,6.12,110
200,0.13,0.74,0.1,50.04633,2.5966,1,0,207,1.18,0.13,0,0.83,1.9464,1.027503233,3.439577333,0.6062474312,1.6,0.22,0,0.843,4.11,0.616,2.13,110
201,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.18,0,1.1,22.06,0.756,18.39,111
202,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.18,0.3,1.05,19.17,0.607,12.27,111
203,0.16,0.79,0.05,46.56488,2.7266,1,0,207,1.18,0.17,0,0.83,2.0192,1.048945787,3.470069934,0.5843898574,1.6,0.23,0.14,1.18,21.8,0.77,20,112
204,0.16,0.79,0.05,46.56488,2.7266,1,0,207,1.18,0.17,0,0.83,2.0192,1.048945787,3.470069934,0.5843898574,1.6,0.34,0.14,1.15,21.4,0.72,17.8,112
205,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.17,0.2,1.12,20.5,0.76,17.5,112
206,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.18,0.2,1.07,20.5,0.74,16.5,112
207,0.16,0.79,0.05,46.56488,2.7266,1,0,207,1.18,0.17,0,0.83,2.0192,1.048945787,3.470069934,0.5843898574,1.6,0.45,0.14,1.121,21.34,0.714,17,25
