Tolerance Factor,New Tolerance Factor,Octahedral Factor,Band gap,Del H,Del L,Voc,Jsc,FF,PCE
1.038254753,3.480306738,0.5843898574,1.57,0.16,0.06,1.12,23.52,0.7601,20.02
1.059446349,3.465084977,0.5830039526,1.59,0.16,0.2,1.1,23.2,0.786,20.05
1.038835888,3.51008842,0.572815534,1.5,0.18,0.2,1.114,23.34,0.7731,20.1
1.038835888,3.51008842,0.572815534,1.59,0.4,0.3,1.03,23.51,0.83,20.1
1.059446349,3.465084977,0.5830039526,1.6,0.34,0.1,1.132,23.59,0.75,20.1
1.037076734,3.490414826,0.5809373769,1.59,0.43,0.21,1.084,22.66,0.82,20.16
1.059446349,3.465084977,0.5830039526,1.5,0.2,0.2,1.13,22.92,0.7805,20.2
1.059446349,3.465084977,0.5830039526,1.6,0.43,0.15,1.13,23.52,0.76,20.2
1.038835888,3.51008842,0.572815534,1.5,0.15,0.1,1.12,22.28,0.812,20.26
1.048646981,3.477564097,0.5816246057,1.63,0.63,0.12,1.168,22.51,0.776,20.4
1.048945787,3.470069934,0.5843898574,1.6,0.34,0.01,1.158,22.32,0.792,20.46
1.038254753,3.480306738,0.5843898574,1.57,0.14,0.06,1.13,23.62,0.7666,20.47
1.038254753,3.480306738,0.5843898574,1.57,0.14,0.06,1.13,23.62,0.7666,20.47
1.042873381,3.50625626,0.572815534,1.56,0.19,0.47,1.08,24.35,0.766,20.5
1.059446349,3.465084977,0.5830039526,1.6,0.28,0.2,1.14,23.7,0.78,20.5
1.059446349,3.465084977,0.5830039526,1.6,0.39,0.1,1.13,23.87,0.76,20.6
1.059446349,3.465084977,0.5830039526,1.63,0.22,0.18,1.145,23.28,0.76,20.61
1.038835888,3.51008842,0.572815534,1.5,0.15,0.2,1.11,24,0.78,20.7
1.059446349,3.465084977,0.5830039526,1.73,0.43,0.18,1.129,23.6,0.779,20.75
1.059446349,3.465084977,0.5830039526,1.55,0.4,0.18,1.14,23.7,0.78,21
1.00449529,3.518841423,0.5864864132,1.5,0.14,0,1.17,22.7,0.8,21.2
1.059446349,3.465084977,0.5830039526,1.58,0.44,0.3,1.1,23.4,0.827,21.3
1.059446349,3.465084977,0.5830039526,1.73,0.43,0.18,1.16,23.18,0.79,21.31
1.04883092,3.473785443,0.5830039526,1.6,0.78,0,1.189,22.3,0.806,21.4
1.036275714,3.464403763,0.5915332601,1.62,0.64,0.37,1.21,22.5,0.79,21.51
1.059446349,3.465084977,0.5830039526,1.58,0.06,0.3,1.14,23.4,0.823,22
