Tolerance Factor,New Tolerance Factor,Octahedral Factor,Band gap,Del H,Del L,Voc,Jsc,FF,PCE
1.038835888,3.51008842,0.572815534,1.5,0.2,0.3,0.95,16.47,0.721,11.26
1.038835888,3.51008842,0.572815534,1.5,0.18,0.3,0.91,20.48,0.61,11.39
1.038835888,3.51008842,0.572815534,1.5,0.3,0.3,0.9,19.3,0.67,11.5
1.038835888,3.51008842,0.572815534,1.5,0.18,0.2,0.85,18.7,0.731,11.6
1.056846807,3.487939566,0.5752427184,1.17,0.5,0.06,0.61,27.79,0.68,11.6
1.047503395,3.440173166,0.5967130215,1.55,0.1,0.25,0.84,22.056,0.63155,11.7
1.038835888,3.51008842,0.572815534,1.5,0.2,0,1.11,20.53,0.5,11.7
1.059446349,3.465084977,0.5830039526,1.73,0.59,0.43,0.961,18.4,0.67,11.9
0.8480449209,4.26409012,0.5957189015,1.92,0.83,0.27,1.06,14.7,0.757,11.9
1.040120664,3.499495199,0.5763125763,1.6,0.1,0.3,1.05,17.62,0.601,12
0.8480449209,4.26409012,0.5957189015,1.82,0.64,0.44,1.3,13.13,0.704,12.02
1.038835888,3.51008842,0.572815534,1.5,0.4,0.2,1.02,21.88,0.5403,12.06
1.038835888,3.51008842,0.572815534,1.5,0.18,0.3,1.05,19.17,0.607,12.27
1.038835888,3.51008842,0.572815534,1.5,0.2,0.3,0.92,18.6,0.72,12.3
1.038835888,3.51008842,0.572815534,1.5,0.2,0.3,1.024,17.91,0.672,12.33
1.038835888,3.51008842,0.572815534,1.5,0,0.3,1.048,20.03,0.591,12.43
1.038835888,3.51008842,0.572815534,1.5,0.21,0.4,0.959,20.35,0.645,12.59
1.083734431,3.287420461,0.6504961411,1.72,0.4,0.18,1.12,17.1,0.66,12.6
1.040120664,3.499495199,0.5763125763,1.56,0.11,0.25,0.91,19.07,0.72,12.61
1.040120664,3.499495199,0.5763125763,1.6,0.2,0,0.91,19.61,0.71,12.67
1.038835888,3.51008842,0.572815534,1.5,0.4,0.3,0.87,18.31,0.79,12.68
1.038835888,3.51008842,0.572815534,1.5,0.3,0.4,0.872,19.51,0.75,12.7
1.038835888,3.51008842,0.572815534,1.5,0.21,0.47,0.955,20.5,0.65,12.77
1.038835888,3.51008842,0.572815534,1.55,0.42,0.02,1.011,20.5,0.638,13.2
1.040120664,3.499495199,0.5763125763,1.55,0.08,0.17,0.9,18.5,0.8,13.3
1.040120664,3.499495199,0.5763125763,1.5,0.16,0.22,0.938,19.58,0.726,13.34
1.038835888,3.51008842,0.572815534,1.5,0.2,0.3,0.88,20.25,0.75,13.37
1.038835888,3.51008842,0.572815534,1.5,0.18,0.3,1.04,19.1,0.68,13.5
1.058477743,3.493388698,0.572815534,1.5,0.47,0.12,0.88,22,0.7,13.5
1.038835888,3.51008842,0.572815534,1.5,0.2,0.18,1.04,18.4,0.72,13.6
1.038835888,3.51008842,0.572815534,1.5,0.4,0.1,0.99,19.82,0.7,13.61
1.038835888,3.51008842,0.572815534,1.55,0.42,0.23,1.05,20.6,0.636,13.7
1.048299286,3.470646654,0.5843898574,1.7,0.2,0.5,1.04,19.76,0.68,13.86
1.038835888,3.51008842,0.572815534,1.5,0.18,0.2,1.02,19.7,0.69,13.9
1.038835888,3.51008842,0.572815534,1.5,0.3,0.3,0.93,18.64,0.8,14.01
1.027503233,3.439577333,0.6062474312,1.6,0.47,0,0.994,22.68,0.625,14.09
1.047041012,3.495956244,0.5752427184,1.25,0.2,0.35,0.67,28.35,0.74,14.18
1.040120664,3.499495199,0.5763125763,1.5,0.3,0.1,0.94,19.6,0.77,14.2
1.038835888,3.51008842,0.572815534,1.55,0.42,0.17,1.061,20.7,0.647,14.2
1.037076734,3.490414826,0.5809373769,1.59,0.43,0.31,1.033,20.35,0.68,14.33
1.040120664,3.499495199,0.5763125763,1.55,0.08,0.25,0.985,19.8,0.7358,14.35
1.038034936,3.507624461,0.5740291262,1.38,0.04,0.32,0.82,22.44,0.78,14.35
1.058477743,3.493388698,0.572815534,1.5,0.5,0.12,0.966,21.918,0.676,14.36
1.040120664,3.499495199,0.5763125763,1.63,0.28,0.27,0.94,21.76,0.7,14.36
1.038835888,3.51008842,0.572815534,1.5,0.18,0.11,0.99,20.18,0.72,14.38
